itemId,effectType,potency,duration
91fca29a-69f2-469c-8ff5-74ce3801863a,agility,23,6900
e9a1acca-629c-4dfd-9d6d-28f3ac1e7eb6,intelligence,25,7500
f9453ffe-2407-442a-ad3a-7fbc7229b70d,agility,22,6540
d8cc46b9-56e9-42b9-9d82-5d7b4217950f,agility,22,6360
ddd811ba-7d3e-46ba-9b14-b24ee52efd4e,agility,50,14880
28cac081-6b49-4cdc-96d7-ad39d6020d50,agility,23,6660
6d19f7d4-eeef-4073-90b2-c13247537dd6,luck,7,1860
f56ae789-40fa-448f-a9f1-01fd496459b3,strength,58,17280
0159e3c1-271e-4196-a425-ad35066f9108,intelligence,41,12180
87136a80-48dc-4395-9553-d606dfa025c7,constitution,48,14400
f5a75de6-73ea-45cf-b7ca-3c0febf215cf,intelligence,49,14700
0b920274-b972-4cc1-af32-096dafdd7730,agility,10,2940
d7b8b4e0-b55e-4d54-802c-214cf99bd4c2,constitution,31,9120
a98056a4-a6c3-4de3-b77b-eb396daeb788,intelligence,15,4440
2cce8b23-c916-4e85-95cd-e531a7d588d3,constitution,1,120
d8c69674-42c6-4321-bf27-9687c0cebf8c,constitution,34,10080
c09f4945-a62a-4cf3-b079-bcb022dd88dd,agility,8,2280
a965ab84-1f20-4946-b2d9-7cd4ee178902,luck,47,14100
d16fa1ac-439a-46e8-8f7f-248ccea87627,strength,5,1500
7b93fe37-b7e5-40c0-92f1-58508ad5fd0c,agility,49,14700
02f8da86-1a40-4283-830e-d8adc05a2d83,intelligence,30,8940
1a470f31-7dbc-411f-a050-9f0fcf429e0b,constitution,41,12060
1ea10f97-1b77-4c55-860f-ec5b264241ed,constitution,8,2160
cc320736-001b-4d42-b5c9-9779f104f531,intelligence,17,4860
da0d2e58-8a60-4912-8c2e-f7bc485c4184,strength,8,2220
fda15702-8f93-4196-99a8-63c04cc01227,intelligence,46,13560
7366e751-f5cc-4f63-bb0f-058de431aa26,strength,13,3900
6e915e52-2050-42c8-a921-ed484b9733b7,strength,44,13200
eefd5f89-c446-491d-9b32-3936e899f0cb,intelligence,44,12960
1f547725-5b54-4820-9014-073af64adeab,constitution,13,3660
0443954e-2483-4851-8bb6-06e7d5e56498,constitution,18,5280
c8cfef3f-db13-4d9b-8168-fea9f8e115d3,constitution,33,9660
66c3b531-f79c-497c-86af-9c2003f019a4,constitution,21,6180
c3e80f23-aa02-4d49-975f-36d24148b610,agility,59,17580
fb49883f-6990-4c73-8640-09935809f934,luck,22,6360
f79eb589-b643-4032-a2cb-fbb5c7580795,intelligence,13,3780
bd381a26-47de-4fea-a096-3ab5e576d356,intelligence,55,16320
eeb31ce2-7b45-42c5-a010-7c3b2841b691,luck,18,5280
9aa09fee-c165-4259-8153-7bdd2b95fd82,constitution,14,4020
9ca619b7-01d4-4f8a-ae54-f28a5a4fc409,agility,60,18000
dcd4cc02-a21f-484c-aa3a-70411e35002b,luck,9,2580
1a82ecc1-19b6-4d7f-af90-f34236734668,intelligence,15,4320
c9208d90-11a5-4359-903a-110a9932c3c4,strength,27,8040
0d80ffdf-e7a0-4c1a-bd2d-ae35ed6474a6,strength,55,16260
04caf706-0f38-49c7-8e33-ca74a0cf8497,luck,55,16260
d846ce64-93b0-478c-8f76-88696e75fa82,luck,48,14280
b58933d9-6482-4705-ade9-5e4161b359fb,luck,8,2340
1fb363cb-fc9a-4228-bfa6-2004cc000f9c,intelligence,18,5400
3cec12a2-f74e-4dd5-963a-721919edd205,strength,51,15300
f4cae2ed-2ab8-4345-9839-a026bc4ea567,luck,5,1320
ca756d00-d101-441e-af09-b1cd3090786a,luck,36,10800
4db456fe-903a-4860-afcb-5b87c995aa4d,luck,32,9420
64bec424-1ca0-4689-9e05-5cb90dd5fc0a,constitution,12,3420
3e2dd4ea-05d7-4cb1-ba71-75f25b73425f,intelligence,3,660
4b1daa12-65dc-44ab-9cdf-dc8a81495bb5,intelligence,22,6540
1e98bcb9-4340-4769-9f06-cd52a8ece242,agility,15,4260
72299144-7f45-427d-b5ba-def1f43dc6bf,agility,40,11940
9bb50b15-bfc4-4089-a5b3-73ef003265cf,intelligence,39,11520
3de39576-115b-4594-bccb-4e9da2989205,intelligence,57,16980
e0e0dded-8eeb-4f4d-b8c6-6b155a1056e5,luck,8,2280
e2148fff-722b-446f-b422-ecd567409a61,strength,3,840
621183f5-cec5-4631-9667-3f6a2483176a,agility,41,12060
384f014b-f356-4e3e-a496-53a8a5ff77df,luck,53,15840
1178a705-ce26-4166-9558-5d07851cbe29,strength,22,6360
e26214ee-5b11-49f7-a61c-3a6b12cac236,intelligence,20,5880
61a2d1d3-97be-4a6d-8e0e-0737aea227cd,strength,29,8640
3e208872-3a68-4bf0-ba98-dd3f9e7b19ee,luck,4,1020
614d9bed-d87f-460c-9684-d0dd2ee1063a,agility,52,15480
0943214a-7e2e-4b9e-8fd3-2622e10a7188,luck,59,17460
1e9629ae-c64a-445e-a785-17952770aca7,agility,50,14940
825ecf81-83c8-41b8-89fc-a92dff5b117d,luck,24,7080
355a3a23-3b08-445c-9135-73b1d3a55bbd,strength,39,11520
6a6a8654-6272-453f-9682-076c1a3c35cd,agility,27,7860
a290e85b-0d85-4f3b-ac7c-9e05bce4b617,constitution,18,5400
63203cfe-c8c3-40cd-953c-aa2db95f157f,strength,44,13080
cb2adea2-1f1f-4fd3-8685-8b7078930052,constitution,60,17940
41355efe-596f-407d-ae53-3f13e7917f8f,luck,1,180
34b157a1-0e1b-4b47-83c8-dee8ed890ccc,intelligence,5,1260
03157aec-5309-4014-b96d-46507e3af9ba,agility,29,8700
b59867d1-5e23-4913-9289-38aa93cdde2b,agility,29,8460
731a6cd4-1648-4a05-bcb6-d1061e38d5de,agility,39,11580
c44b4112-b0ee-41b7-ad4b-ab3c98a81cde,strength,6,1740
669f107a-7760-4164-a541-5d08cdf23b48,constitution,37,10860
737550bf-7af1-4ada-b9eb-c02bbd5e3f31,constitution,44,13200
b443fde6-c6a0-43b1-b316-928d09397634,strength,56,16560
42fae98a-f912-4586-a946-53b2223442de,strength,36,10620
6051d03f-61cc-47eb-a08f-4d3ddcb42e4d,luck,56,16800
36902a2f-66bb-4286-9114-8c9baa43761b,constitution,5,1260
e7c2eddc-458e-49b8-8982-4c679a1cf08e,strength,17,5100
835ff689-2df7-4728-a495-97ba332ae01f,intelligence,12,3540
9da05340-c6ec-4f27-9d3d-760a8c7e98f4,luck,34,10020
5e906e78-6a5b-465e-b556-3a7b39e5727e,constitution,12,3480
c4611704-dc76-4711-898f-7a94585c7030,strength,11,3060
3265092d-1ff5-4e5b-8e7d-8a6c677051ce,strength,33,9720
2d77734e-259e-4377-87f5-2e17a3ad85cd,constitution,45,13440
aa8e9bc4-d797-4062-b0c9-286b57211754,strength,21,6120
a462f46d-315b-46e8-9e0e-c0af512d1bc9,luck,31,9120
622f2168-e0b3-4003-bdca-0e48826c83f5,agility,47,13860
aa256690-ebf0-4c25-b232-820ee0a50ed8,agility,2,480
52b299ca-910e-4a1d-a2cb-20e7d07e50e2,strength,49,14580
38a38794-11d3-498f-922f-efc5497e4265,intelligence,51,15120
e7d322fe-3d55-4fec-a312-9714237e3c22,agility,32,9360
45c78082-82e1-4b6a-b352-2de8175d9492,agility,58,17160
60e9d58b-ed3a-456a-8d6f-3f751d5ecdf0,luck,51,15120
1884f9e2-6a02-421f-8ad6-586a1830f19f,strength,12,3420
384ce50b-01e8-48ae-882d-10f1d287db55,luck,56,16680
a733375e-9d7d-4717-b521-a567f9bafb4c,strength,4,1020
80b814a3-aa50-46fd-b84e-2751758f0c2d,intelligence,6,1800
529a5dec-755e-4620-947e-0b884d7cba82,constitution,46,13740
0ac8da38-c462-4513-8303-a70f2802745c,intelligence,21,6240
24bf661a-5dca-453f-8635-e1610e37cd6f,strength,11,3060
286da99b-e4c2-47ca-8c27-29f120ce34f6,constitution,30,9000
6404f6be-177f-42e1-b8ef-d921a58be6ca,constitution,14,4080
9e511160-68b4-4b42-8d21-c53ca08e59ca,agility,26,7680
c77cc163-2e69-4f52-87e9-e5680aedecdc,intelligence,5,1380
22c5f375-6ef6-41b9-b8ee-489feedf6ab5,constitution,55,16500
69ae5244-eb11-4ee6-9e11-369979ac9b49,luck,57,16920
0fd3f5f1-58b4-472e-8f7e-b5d90a667913,agility,35,10440
7b46c097-c79d-4330-8d2b-dcd652c2949d,strength,48,14220
cccfa349-b8fb-4a04-8b92-b486722aadf3,agility,33,9900
84fb32d5-8269-466c-897f-a56b90332b1c,luck,49,14700
da3d9a2b-6cc2-4392-912d-e8c84afe3eba,constitution,39,11700
b14b2854-b3c7-48d5-8a4f-5a812937524f,luck,52,15360
6a59bc9a-dd68-42f6-b460-94e879bf9c16,constitution,35,10380
94d02c41-74b0-43a0-8f32-b12185f36692,constitution,3,720
44164694-294f-4d9a-ba4c-07ab82a8bad7,strength,28,8160
495e05fe-c902-405e-9820-9e5ffe664d0f,strength,27,8040
36f86f9e-eb9c-441e-bd95-75ac77fa8120,luck,54,16020
631229ef-5ccd-4662-8f8d-45ff00fb1f92,luck,17,5100
313d7c52-ec71-4251-b838-95859da08a12,strength,50,14940
8986ab06-022d-4721-9a7c-28f7bbad1ff3,intelligence,18,5400
1bd734a2-990d-4cec-89df-2a0346e73e0c,luck,4,1020
03403f99-4594-42fd-8db3-a993a81d5355,strength,44,13140
86c4e236-3870-4c25-a264-0563552a041d,constitution,16,4680
cc1ee70c-f611-417e-a839-96f02d7485b7,luck,5,1260
a85aa546-674f-43d9-a0e2-e2d2086ea7d2,intelligence,9,2460
e4ca55d0-6d46-4380-b6f6-22b1800fb978,agility,8,2160
094d76ba-a03a-4c05-bb7f-a533ca7c45d4,luck,49,14520
fbaf337f-d338-46e9-aef6-25d3970145e0,strength,41,12120
95dedc51-6f47-43e8-a3df-f495ddd6d09f,luck,36,10800
f6b87911-6cf3-4508-8092-12a0f9ce6842,constitution,42,12360
5ae29783-0f26-43ac-acb8-87c89fa6becb,intelligence,60,18000
5538e726-5a2f-4947-b664-807cf813a330,constitution,22,6600
62b56c89-efc5-4c6f-a447-b3e2b20fbed5,strength,50,14880
69f86150-6269-47c1-9a0f-a8a28ecb3aa9,strength,20,6000
30f5d02d-dc43-4cc8-ab87-874ab0a6dfea,agility,31,9300
072c5d20-4282-4d06-a14b-896eb61e4f80,constitution,13,3720
5167ab81-1777-4fa2-bd8d-6ef9ceb7f201,luck,8,2400
2a5e596b-47c5-4744-964b-0f39df075ac0,intelligence,14,4080
0d6f44b4-3039-446d-aa40-a714077e815a,luck,17,4980
